Date Range,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Excitement Count,Excitement Words,Sentiment Label
sunday june 14 1942 to monday june 15 1942,8,"good, happy, welcomed, wonderful, friend, cream, mother, birthday",4,"ill, mistake, dislocated, mother",3,"ill, dislocated, lying",2,"ill, dislocated",8,"good, school, happy, wonderful, friend, mother, aunt, expert",3,"ill, dislocated, lying",5,"curiosity, good, wonderful, cream, birthday",7,"curiosity, good, happy, cream, mother, birthday, time",0,,Very Positive
monday june 15 1942 to saturday june 20 1942,28,"star, adorable, friend, mother, true, laugh, love, birthday, shopping, freedom, entertainment, helpful, good, safe, present, beauty, surprise, nursery, silly, kind, loving, beer, celebration, feeling, flirt, diary, pretty, deal",22,"problem, quiet, listless, mother, rob, ruined, offended, interested, case, tough, ill, fault, obnoxious, harry, anxiety, suffering, rumor, depressed, feeling, badly, sick, terrific",13,"feeling, lying, offended, harry, anxiety, hit, ill, fighting, depressed, rob, punishment, ruined, obnoxious",19,"problem, mistaken, rob, ruined, case, ill, change, punishment, plunge, nervous, anxiety, suffering, surprise, fled, homework, depressed, war, feeling, operation",34,"planning, top, star, friend, mother, true, provide, facts, prefer, frank, shopping, freedom, entertainment, helpful, good, safe, patience, present, nursery, teacher, kind, celebration, loving, father, wear, feeling, school, operation, director, flirt, principal, diary, pretty, deal",13,"vulgar, feeling, lying, boy, interested, ill, dirty, suffering, sick, rob, punishment, ruined, obnoxious",12,"feeling, laugh, catch, good, present, flirt, shopping, birthday, surprise, entertainment, deal, celebration",22,"planning, top, star, mother, shopping, birthday, entertainment, nervous, good, intended, patience, anxiety, present, public, celebration, feeling, start, arrival, flirt, pretty, time, deal",0,,Very Positive
saturday june 20 1942 to sunday june 21 1942,10,"money, friendship, young, generous, oasis, friend, passionate, cream, mother, silly",5,"quiet, case, bad, hell, mother",6,"money, hot, bad, hell, uncertain, hunting",5,"case, bad, hell, uncertain, hunting",11,"father, money, friendship, school, oasis, friend, manage, passionate, generous, mother, innocent",3,"hell, bad, uncertain",5,"money, young, uncertain, cream, surprised",12,"money, start, long, young, tomorrow, oasis, hunting, passionate, cream, mother, thought, time",0,,Very Positive
sunday june 21 1942 to wednesday june 24 1942,9,"laugh, joy, satisfied, friend, vacation, mother, baby, pretty, beautiful",11,"worried, exhausted, quiet, complain, lose, death, necessity, sick, mad, mother, leave",10,"arguments, complain, lose, death, mistress, angry, mad, words, punishment, ridiculous",5,"homework, death, lose, mad, punishment",6,"father, frank, convincing, friend, mother, pretty",9,"quack, lose, death, mistress, sick, angry, mad, punishment, ridiculous",8,"laugh, lose, death, break, leave, trick, unpredictable, suddenly",7,"death, wait, vacation, mother, thought, pretty, time",0,,Very Negative
wednesday june 24 1942 to wednesday july 1 1942,8,"luxury, pleasant, good, unexpected, goodness, friend, vacation, kind",4,"ill, fell, torment, fault",3,"ill, torment, stolen",3,"ill, torment, unexpected",8,"father, pleasant, safekeeping, good, school, goodness, friend, kind",2,"ill, boy",5,"pleasant, good, unexpected, goodness, surprised",7,"pleasant, good, unexpected, goodness, vacation, long, time",0,,Very Positive
wednesday july 1 1942 to sunday july 5 1942,10,"promise, good, young, miracle, love, finally, sweet, praise, marry, mother",6,"falling, ill, shell, mother, apologize, hanging",4,"ill, hanging, shell, furious",8,"war, ill, shell, hide, marry, watch, hanging, nervous",11,"father, promise, good, miracle, finally, fixed, sweet, praise, marry, mother, apologize",5,"boy, finally, ill, furious, hanging",8,"good, young, miracle, finally, shell, sweet, marry, guess",11,"good, young, miracle, finally, sweet, marry, mother, watch, time, nervous, bye",0,,Very Positive
sunday july 5 1942 to wednesday july 8 1942,13,"good, food, brilliant, enjoy, happy, graduation, pleased, finally, satisfied, baby, ceremony, deal, true",9,"awful, leave, case, somber, bad, fall, lost, absent, worry",4,"bad, words, awful, screaming",9,"homework, awful, screaming, case, graduation, bad, hiding, worry, nervous",14,"father, good, school, accord, enjoy, happy, graduation, finally, usual, deal, brilliant, food, agreed, true",4,"screaming, bad, awful, finally",6,"good, leave, graduation, finally, ceremony, deal",14,"neighborhood, good, enjoy, happy, graduation, wait, finally, nervous, expected, long, brilliant, worry, time, deal",0,,Very Positive
wednesday july 8 1942 to thursday july 9 1942,8,"destination, finally, goodness, friend, mother, diary, sun, alive",12,"destination, exhausted, quiet, stripped, cry, ill, lonely, hospital, mother, fell, leave, suffocating",7,"stripped, hot, agitated, shock, ill, lonely, pound",13,"destination, stripped, creature, unknown, stunned, shock, ill, lonely, hiding, hospital, hide, suspense, suffocating",12,"father, dare, important, leading, finally, goodness, friend, hospital, mother, diary, sun, alive",6,"stripped, creature, finally, ill, lonely, suffocating",9,"destination, shock, finally, goodness, stunned, leave, sun, suspense, suddenly",15,"dare, destination, stripped, long, tomorrow, unknown, wait, finally, goodness, time, mother, thought, sun, suspense, alive",0,,Very Negative
thursday july 9 1942 to friday july 10 1942,7,"sympathetic, young, lovely, star, elegant, mother, kind",8,"dark, lovely, ill, black, gray, mother, leave, sympathetic",1,ill,4,"hiding, ill, suspect, sympathetic",16,"father, ground, sympathetic, frank, top, occupant, lovely, star, explain, agreed, secret, fact, general, mother, word, kind",3,"ill, toilet, gray",4,"young, surprised, leave, lovely",8,"coming, long, young, top, lovely, star, plan, mother",0,,Very Positive
friday july 10 1942 to saturday july 11 1942,3,"mother, clean, shopping",5,"unable, exhausted, miserable, mother, fell",2,"miserable, words",1,change,6,"father, clean, secret, shopping, mother, continue",2,"mess, miserable",1,shopping,7,"arrival, happen, shopping, long, time, mother, continue",0,,Very Positive
saturday july 11 1942 to sunday july 12 1942,6,"art, fun, cheerful, vacation, mother, kind",10,"shot, doubt, art, quiet, bad, anxiety, ill, black, dismal, mother",4,"ill, shot, bad, anxiety",10,"shot, doubt, bad, anxiety, hiding, ill, afraid, dismal, hide, nervous",4,"father, doubt, kind, mother",4,"ill, cough, bad, dismal",3,"shot, art, cheerful",12,"art, start, fun, arrival, anxiety, arrive, vacation, clock, mother, immediately, time, nervous",0,,Very Negative
sunday july 12 1942 to friday august 14 1942,7,"amusing, sweet, praised, mother, birthday, diary, deal",4,"mother, shell, wound, broke",2,"shell, wound",5,"war, broke, shell, wound, dangerous",6,"fill, fact, sweet, mother, diary, deal",0,,4,"shell, sweet, deal, birthday",6,"start, sweet, birthday, mother, time, deal",0,,Very Positive
friday august 14 1942 to friday august 21 1942,4,"amusement, kind, vivid, found",7,"deserted, distraught, interested, late, unrest, cross, leave",2,"deserted, cross",8,"deserted, harm, military, unrest, horrified, afraid, thirteenth, cross",8,"civilization, frank, planning, word, officer, kind, divan, found",3,"deserted, boy, interested",3,"surprised, leave, suddenly",3,"thought, coming, planning",0,,Very Negative
friday august 21 1942 to wednesday september 2 1942,4,"jump, helpful, nap, special",3,"mad, dreadful, obnoxious",5,"spite, hot, mad, dreadful, obnoxious",4,"hiding, change, mad, dreadful",3,"father, secret, helpful",4,"mad, boy, dreadful, obnoxious",0,,3,"thought, start, dreadful",0,,Very Negative
wednesday september 2 1942 to monday september 21 1942,9,"excellent, treasure, special, save, darling, friendly, mother, surprise, found",13,"sullen, interested, leave, blue, falling, ill, hell, shell, napkin, wasting, wound, mother, worry",13,"fight, kicking, bear, sullen, friction, shock, ill, hell, shell, argument, wound, words, punishment",17,"harm, fight, difficult, bear, abominable, mum, shock, hiding, ill, shell, afraid, wasting, wound, hell, surprise, worry, punishment",14,"father, school, routine, excellent, treasure, save, darling, friendly, explain, account, mother, word, agreed, found",6,"interested, abominable, ill, hell, wasting, punishment",7,"catch, shock, shell, surprising, surprise, leave, suddenly",10,"thought, coming, long, treasure, friendly, happen, mother, immediately, worry, time",0,,Very Negative
monday september 21 1942 to friday september 25 1942,6,"laugh, safe, tree, pretty, wonderful, food",4,"ill, bottom, forgotten, unbearable",4,"ill, thump, tree, words",3,"ill, war, forgotten",15,"father, real, exchange, school, safe, tree, pretty, wonderful, wear, fact, general, series, food, divan, dictionary",4,"ill, spoil, unbearable, tree",4,"wonderful, laugh, trick, tree",5,"contingent, begun, tree, expecting, pretty",0,,Very Positive
friday september 25 1942 to sunday september 27 1942,11,"laugh, fun, hilarity, amusing, love, prosperous, saintly, giggle, friend, mother, alive",2,"pathetic, mother",1,nuisance,1,afraid,11,"father, advise, real, committee, patience, saintly, fill, fact, friend, mother, alive",2,"pathetic, impolite",3,"laugh, saintly, suddenly",7,"letter, fun, patience, saintly, mother, time, alive",0,,Very Positive
sunday september 27 1942 to tuesday september 29 1942,18,"jump, grin, pleasant, good, laugh, perfection, magnificent, finally, daughter, goodness, hope, mother, luck, special, silly, kind, true, delight",19,"terribly, black, criticize, mother, leave, defeated, case, upset, lose, ill, fat, bad, failure, concerned, sentence, scold, moody, doomed, fell",23,"rage, lying, quarrel, criticize, annoying, bear, barbaric, agitated, upset, lose, hit, ill, bickering, words, tirade, defense, bad, sentence, scold, ridiculous, moody, interminable, hot",19,"defend, criticize, compassion, bear, barbaric, case, lose, ill, change, shaking, defense, bad, failure, concerned, sentence, scold, war, alien, doomed",22,"grin, pleasant, perfection, account, fact, mother, constantly, agreed, true, frank, finally, show, usual, good, magnificent, goodness, hope, kind, father, dare, modest, explain",16,"alien, lying, barbaric, bad, failure, lose, finally, ill, criticize, bickering, sentence, scold, fat, vulgar, ridiculous, tirade",12,"grin, pleasant, good, laugh, perfection, magnificent, lose, finally, goodness, luck, leave, hope",20,"grin, pleasant, perfection, patient, mother, daily, finally, thought, delight, defense, good, magnificent, goodness, sentence, long, hope, dare, interminable, luck, time",0,,Very Negative
tuesday september 29 1942 to thursday october 1 1942,5,"pleasant, amusing, lovely, mother, kind",10,"problem, sore, dark, lovely, concerned, ill, worse, difficulty, lower, mother",5,"fear, hot, sore, ill, difficulty",8,"fear, problem, difficult, concerned, worse, hiding, ill, difficulty",8,"father, pleasant, calls, kind, measure, constant, lovely, mother",3,"ill, quack, scrub",2,"lovely, pleasant",8,"pleasant, calls, arrival, lovely, opportunity, happen, mother, time",0,,Very Negative
thursday october 1 1942 to saturday october 3 1942,19,"food, amusing, perfect, spouse, mother, baby, laugh, paragon, witty, laughing, good, treat, sweet, teach, kind, celebration, flirt, luck, pretty",9,"quiet, pain, case, irritation, hell, treat, black, mother, hideous",7,"bear, teasing, irritation, hell, jealous, treat, brunt",10,"bear, pain, case, fright, teasing, hell, dread, treat, change, hideous",17,"father, virtue, good, chemist, pretty, kind, flirt, treat, perfect, sweet, constant, paragon, spouse, food, teach, mother, celebration",5,"irritation, hell, jealous, treat, hideous",11,"good, laugh, fright, treat, flirt, sweet, quicksilver, luck, teach, celebration, suddenly",16,"good, coming, wont, store, wait, paragon, treat, flirt, dread, perfect, sweet, mother, luck, pretty, time, celebration",0,,Very Positive
