Start Date,End Date,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Sentiment Score,Sentiment Label
sunday june 14 1942,monday june 15 1942,8,"cream, wonderful, mother, friend, good, happy, welcomed, birthday",3,"dislocated, ill, mistake",3,"lying, dislocated, ill",2,"dislocated, ill",8,"expert, school, wonderful, mother, friend, good, happy, aunt",3,"lying, dislocated, ill",5,"cream, wonderful, curiosity, good, birthday",7,"cream, curiosity, mother, good, time, happy, birthday",12,Highly Positive
monday june 15 1942,saturday june 20 1942,28,"adorable, nursery, safe, shopping, celebration, good, helpful, surprise, silly, pretty, feeling, loving, diary, birthday, freedom, star, flirt, laugh, beer, true, entertainment, kind, beauty, love, mother, friend, deal, present",21,"ruined, listless, rumor, offended, harry, rob, feeling, tough, suffering, problem, fault, quiet, badly, case, obnoxious, ill, interested, depressed, sick, terrific, anxiety",13,"obnoxious, harry, ill, ruined, fighting, rob, lying, feeling, punishment, hit, depressed, anxiety, offended",19,"ruined, fled, punishment, surprise, rob, feeling, plunge, homework, suffering, problem, nervous, change, war, operation, case, ill, depressed, mistaken, anxiety",34,"director, nursery, safe, shopping, celebration, prefer, helpful, good, facts, patience, principal, pretty, school, frank, feeling, loving, diary, teacher, wear, freedom, star, planning, flirt, true, father, entertainment, operation, kind, mother, friend, deal, top, provide, present",13,"obnoxious, dirty, ill, ruined, boy, rob, lying, suffering, feeling, punishment, interested, sick, vulgar",12,"feeling, flirt, laugh, catch, surprise, good, shopping, deal, celebration, entertainment, birthday, present",22,"shopping, celebration, good, start, patience, pretty, public, feeling, time, birthday, star, planning, flirt, intended, nervous, entertainment, arrival, mother, deal, top, anxiety, present",18,Highly Positive
saturday june 20 1942,sunday june 21 1942,10,"young, cream, money, generous, passionate, mother, friend, friendship, silly, oasis",4,"bad, quiet, hell, case",6,"hot, uncertain, money, hell, hunting, bad",5,"uncertain, hell, case, hunting, bad",11,"friendship, manage, money, generous, school, passionate, mother, friend, innocent, father, oasis",3,"uncertain, bad, hell",5,"young, surprised, uncertain, cream, money",12,"young, cream, money, passionate, thought, mother, time, tomorrow, start, long, hunting, oasis",15,Highly Positive
sunday june 21 1942,wednesday june 24 1942,9,"vacation, baby, pretty, laugh, mother, friend, beautiful, joy, satisfied",10,"complain, necessity, worried, leave, death, quiet, exhausted, sick, lose, mad",10,"angry, arguments, complain, mistress, ridiculous, punishment, words, death, lose, mad",5,"punishment, death, homework, lose, mad",6,"convincing, pretty, frank, mother, friend, father",9,"angry, quack, mistress, ridiculous, punishment, death, sick, lose, mad",8,"trick, break, laugh, unpredictable, leave, death, suddenly, lose",7,"vacation, pretty, wait, thought, mother, time, death",-12,Highly Negative
wednesday june 24 1942,wednesday july 1 1942,8,"vacation, unexpected, pleasant, luxury, good, friend, goodness, kind",4,"fault, torment, ill, fell",3,"torment, ill, stolen",3,"torment, unexpected, ill",8,"pleasant, school, good, friend, father, safekeeping, goodness, kind",2,"ill, boy",5,"unexpected, pleasant, surprised, good, goodness",7,"vacation, unexpected, pleasant, good, time, goodness, long",11,Highly Positive
wednesday july 1 1942,sunday july 5 1942,10,"sweet, young, promise, marry, miracle, love, finally, good, mother, praise",5,"falling, shell, ill, hanging, apologize",4,"furious, shell, ill, hanging",8,"ill, marry, hanging, shell, hide, nervous, watch, war",11,"sweet, promise, marry, miracle, finally, good, mother, father, fixed, apologize, praise",5,"ill, boy, hanging, finally, furious",8,"sweet, guess, young, shell, marry, miracle, finally, good",11,"sweet, young, marry, miracle, bye, good, finally, time, mother, nervous, watch",10,Positive
sunday july 5 1942,wednesday july 8 1942,13,"brilliant, pleased, baby, satisfied, good, finally, ceremony, deal, true, happy, enjoy, food, graduation",9,"somber, absent, fall, lost, worry, awful, leave, case, bad",4,"words, awful, bad, screaming",9,"worry, awful, nervous, graduation, homework, hiding, case, bad, screaming",14,"agreed, brilliant, accord, usual, school, father, good, finally, true, deal, happy, enjoy, food, graduation",4,"finally, awful, bad, screaming",6,"good, finally, leave, ceremony, deal, graduation",14,"neighborhood, brilliant, worry, wait, expected, good, finally, time, deal, nervous, graduation, enjoy, long, happy",15,Highly Positive
wednesday july 8 1942,thursday july 9 1942,8,"sun, destination, mother, friend, finally, alive, goodness, diary",11,"ill, hospital, destination, leave, quiet, lonely, exhausted, fell, suffocating, stripped, cry",7,"pound, ill, shock, hot, lonely, stripped, agitated",13,"suspense, ill, hospital, hide, shock, suffocating, creature, destination, lonely, stripped, hiding, unknown, stunned",12,"dare, hospital, sun, mother, friend, finally, leading, important, father, goodness, diary, alive",6,"ill, finally, lonely, stripped, suffocating, creature",9,"suspense, shock, sun, destination, finally, leave, suddenly, goodness, stunned",15,"suspense, dare, wait, thought, sun, mother, finally, time, tomorrow, destination, alive, goodness, long, stripped, unknown",-2,Negative
thursday july 9 1942,friday july 10 1942,7,"young, star, sympathetic, lovely, mother, elegant, kind",7,"dark, ill, sympathetic, lovely, black, leave, gray",1,ill,4,"hiding, suspect, sympathetic, ill",16,"agreed, fact, secret, star, sympathetic, frank, general, lovely, mother, explain, ground, top, word, father, kind, occupant",3,"toilet, ill, gray",4,"lovely, leave, young, surprised",8,"young, star, coming, lovely, mother, plan, top, long",16,Highly Positive
friday july 10 1942,saturday july 11 1942,3,"mother, clean, shopping",4,"miserable, unable, exhausted, fell",2,"words, miserable",1,change,6,"secret, shopping, mother, father, clean, continue",2,"miserable, mess",1,shopping,7,"happen, arrival, shopping, mother, time, long, continue",7,Positive
